requested,resolved,key,bbg_style_ticker,provider_symbol,exchange,mic,currency,confidence,notes
TRATON SE,TRATON SE,8TRA,8TRA GY,8TRA,XETR,XETR,EUR,high,
ABB Ltd,ABB Ltd,ABBN,ABBN SW,ABBN,SIX,XSWX,CHF,high,
Allegion plc,Allegion plc,ALLE,ALLE US,ALLE,NYSE,XNYS,USD,high,
Alstom SA,Alstom SA,ALO,ALO FP,ALO,Euronext,XPAR,EUR,high,
Applied Materials,"Applied Materials, Inc.",AMAT,AMAT US,AMAT,NASDAQ,XNGS,USD,high,
AMETEK,Ametek Inc.,AME,AME US,AME,NYSE,XNYS,USD,high,
Assa Abloy AB (B),Assa Abloy AB (publ),ASSAB,ASSAB SS,0R87,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Atlas Copco AB (A),Atlas Copco AB ser. A,ATCOA,ATCOA SS,0XXT,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Atkore,Atkore Inc.,ATKR,ATKR US,ATKR,NYSE,XNYS,USD,high,
Belden,Belden Inc.,BDC,BDC US,BDC,NYSE,XNYS,USD,high,
Badger Meter,Badger Meter Inc.,BMI,BMI US,BMI,NYSE,XNYS,USD,high,
Carrier Global,Carrier Global Corporation,CARR,CARR US,CARR,NYSE,XNYS,USD,high,
Caterpillar,Caterpillar Inc.,CAT,CAT US,CAT,NYSE,XNYS,USD,high,
Cummins,Cummins Inc.,CMI,CMI US,CMI,NYSE,XNYS,USD,high,
Coherent,Coherent Corp.,COHR,COHR US,COHR,NYSE,XNYS,USD,high,
Crane Co (Crane NXT line),Crane NXT Co.,CR,CR US,CR,NYSE,XNYS,USD,medium,Provider CR line carries Crane NXT statements post-2023 split; used as approximate proxy for Crane Co.
Deere & Co,Deere & Company,DE,DE US,DE,NYSE,XNYS,USD,high,
Danaher,Danaher Corporation,DHR,DHR US,DHR,NYSE,XNYS,USD,high,
Daimler Truck Holding AG,Daimler Truck Holding AG,DTG,DTG GY,DTG,XETR,XETR,EUR,high,
Ebara Corp,Ebara Corporation,EBARA,6361 JP,6361,JPX,XJPX,JPY,high,
Emerson Electric,Emerson Electric Co.,EMR,EMR US,EMR,NYSE,XNYS,USD,high,
Epiroc AB (A),Epiroc AB (publ),EPIA,EPIA SS,0YSU,LSE,XLON,SEK,high,LSE secondary line has no fundamentals; statements from OTC line EPIAF (same issuer). Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Eaton Corp plc,Eaton Corporation plc,ETN,ETN US,ETN,NYSE,XNYS,USD,high,
Fastenal,Fastenal Co.,FAST,FAST US,FAST,NASDAQ,XNGS,USD,high,
Flowserve,Flowserve Corporation,FLS,FLS US,FLS,NYSE,XNYS,USD,high,
Fabrinet,Fabrinet,FN,FN US,FN,NYSE,XNYS,USD,high,
Greenbrier,"Greenbrier Companies, Inc.",GBX,GBX US,GBX,NYSE,XNYS,USD,high,
GE Aerospace,General Electric Company,GE,GE US,GE,NYSE,XNYS,USD,high,
Corning,Corning Incorporated,GLW,GLW US,GLW,NYSE,XNYS,USD,high,
Halma plc,Halma plc,HLMA,HLMA LN,HLMA,LSE,XLON,GBp,high,
Honeywell,Honeywell International Inc.,HON,HON US,HON,NASDAQ,XNGS,USD,high,
Howmet Aerospace,Howmet Aerospace Inc.,HWM,HWM US,HWM,NYSE,XNYS,USD,high,
Hexcel,Hexcel Corporation,HXL,HXL US,HXL,NYSE,XNYS,USD,high,
IDEX,IDEX Corporation,IEX,IEX US,IEX,NYSE,XNYS,USD,high,
IMI plc,IMI plc,IMI,IMI LN,IMI,LSE,XLON,GBp,high,
Ingersoll Rand,Ingersoll Rand Inc.,IR,IR US,IR,NYSE,XNYS,USD,high,
ITT Inc,Itt Inc.,ITT,ITT US,ITT,NYSE,XNYS,USD,high,
Johnson Controls,Johnson Controls International plc,JCI,JCI US,JCI,NYSE,XNYS,USD,high,
KLA Corp,KLA Corporation,KLAC,KLAC US,KLAC,NASDAQ,XNGS,USD,high,
Kennametal,Kennametal Inc.,KMT,KMT US,KMT,NYSE,XNYS,USD,high,
KONE Oyj (B),KONE Oyj Class B,KNEBV,KNEBV FH,0II2,LSE,XLON,EUR,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Lennox International,Lennox International Inc.,LII,LII US,LII,NYSE,XNYS,USD,high,
Lumentum,Lumentum Holdings Inc.,LITE,LITE US,LITE,NASDAQ,XNGS,USD,high,
Legrand SA,Legrand SA,LR,LR FP,LR,Euronext,XPAR,EUR,high,
Metso Oyj,Metso Oyj,METSO,METSO FH,0MGI,LSE,XLON,EUR,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Moog Inc (A),Moog Inc.,MOGA,MOG/A US,MOG.A,NYSE,XNYS,USD,high,
Melrose Industries plc,Melrose Industries PLC,MRO,MRO LN,MRO,LSE,XLON,GBp,high,
Nexans SA,Nexans S.A.,NEX,NEX FP,NEX,Euronext,XPAR,EUR,high,
NSK Ltd,NSK Ltd.,NSK,6471 JP,6471,JPX,XJPX,JPY,high,
NTN Corp,NTN Corporation,NTN,6472 JP,6472,JPX,XJPX,JPY,high,
Oshkosh,Oshkosh Corporation,OSK,OSK US,OSK,NYSE,XNYS,USD,high,
Otis Worldwide Corp,Otis Worldwide Corporation,OTIS,OTIS US,OTIS,NYSE,XNYS,USD,high,
PACCAR Inc,PACCAR Inc.,PCAR,PCAR US,PCAR,NASDAQ,XNGS,USD,high,
Prysmian SpA,Prysmian S.p.A.,PRY,PRY IM,PRY,MTA,XMIL,EUR,high,
Rockwell Automation,"Rockwell Automation, Inc.",ROK,ROK US,ROK,NYSE,XNYS,USD,high,
Rotork plc,Rotork plc,ROR,ROR LN,ROR,LSE,XLON,GBp,high,
Rolls-Royce Holdings plc,Rolls-Royce Holdings plc,RR,RR/ LN,RR,LSE,XLON,GBp,high,
RTX Corp,RTX Corporation,RTX,RTX US,RTX,NYSE,XNYS,USD,high,
Rexel SA,Rexel SA,RXL,RXL FP,RXL,Euronext,XPAR,EUR,high,
Sandvik AB,Sandvik AB (publ),SAND,SAND SS,0HC0,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Schindler Holding (PC),Schindler Holding AG Participation Certificate,SCHP,SCHP SW,SCHP,SIX,XSWX,CHF,high,
Siemens AG,Siemens Aktiengesellschaft,SIE,SIE GY,SIE,XETR,XETR,EUR,high,
SKF AB (B),SKF AB Class B shares,SKFB,SKFB SS,0NWX,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Smiths Group plc,Smiths Group plc,SMIN,SMIN LN,SMIN,LSE,XLON,GBp,high,
Spirax Group plc,Spirax Group plc,SPX,SPX LN,SPX,LSE,XLON,GBp,high,
Stadler Rail AG,Stadler Rail AG,SRAIL,SRAIL SW,SRAIL,SIX,XSWX,CHF,high,
Schneider Electric SE,Schneider Electric SE,SU,SU FP,SU,Euronext,XPAR,EUR,high,
TransDigm,TransDigm Group Inc.,TDG,TDG US,TDG,NYSE,XNYS,USD,high,
Terex,Terex Corporation,TEX,TEX US,TEX,NYSE,XNYS,USD,high,
Timken,Timken Co.,TKR,TKR US,TKR,NYSE,XNYS,USD,high,
Trane Technologies,Trane Technologies plc,TT,TT US,TT,NYSE,XNYS,USD,high,
Vistance Networks,"Vistance Networks, Inc.",VISN,VISN US,VISN,NASDAQ,XNGS,USD,high,"Resolved via provider symbol search: Vistance Networks Inc, NASDAQ/XNGS. Fundamentals heavily distorted by restructuring — treat multiples as NM."
Volvo AB (B),Volvo AB (B),VOLVB,VOLVB SS,0HTP,LSE,XLON,SEK,high,Priced via LSE international order book line (SEK/EUR native prices; identical issuer).
Vertiv Holdings,Vertiv Holdings Co,VRT,VRT US,VRT,NYSE,XNYS,USD,high,
Wabtec,Wabtec Corporation,WAB,WAB US,WAB,NYSE,XNYS,USD,high,
WESCO International,Wesco International Inc.,WCC,WCC US,WCC,NYSE,XNYS,USD,high,
Weir Group plc,Weir Group plc,WEIR,WEIR LN,WEIR,LSE,XLON,GBp,high,
Watts Water,Watts Water Technologies Inc.,WTS,WTS US,WTS,NYSE,XNYS,USD,high,
Woodward,Woodward Inc.,WWD,WWD US,WWD,NASDAQ,XNGS,USD,high,
