key,company,year,ev_ebitda,basis
8TRA,TRATON SE,2020,7.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2021,1.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2022,0.87,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2023,1.09,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2024,4.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
8TRA,TRATON SE,2025,6.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2020,34.45,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2021,21.29,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2022,16.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2023,16.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2024,20.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ABBN,ABB Ltd,2025,19.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2020,23.95,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2021,20.15,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2022,15.85,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2023,13.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2024,14.7,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALLE,Allegion plc,2025,15.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2021,12.37,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2022,11.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2023,6.65,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2024,9.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2025,10.07,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ALO,Alstom SA,2026,5.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2020,13.93,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2021,17.28,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
AMAT,Applied Materials,2022,10.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2020,17.34,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2021,16.5,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2022,12.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2023,17.48,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2024,14.78,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ASSAB,Assa Abloy AB (B),2025,15.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2020,21.75,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2021,26.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2022,17.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2023,19.35,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2024,19.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATCOA,Atlas Copco AB (A),2025,18.9,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2020,7.14,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2021,6.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2022,4.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2023,6.22,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2024,4.49,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ATKR,Atkore,2025,6.62,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2020,10.84,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2021,10.25,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2022,11.01,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2023,9.55,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2024,15.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BDC,Belden,2025,12.86,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2020,28.01,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2021,25.76,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2022,26.28,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2023,29.55,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2024,32.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
BMI,Badger Meter,2025,22.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2020,12.45,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2021,18.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2022,9.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2023,22.33,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2024,19.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CARR,Carrier Global,2025,16.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2020,11.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2021,9.99,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2022,10.48,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2023,7.46,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2024,11.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CAT,Caterpillar,2025,19.59,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2020,10.02,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2021,7.87,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2022,8.62,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2023,10.99,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2024,9.73,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CMI,Cummins,2025,13.3,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CR,Crane Co (Crane NXT line),2022,67.47,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CR,Crane Co (Crane NXT line),2023,27.21,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CR,Crane Co (Crane NXT line),2024,23.97,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
CR,Crane Co (Crane NXT line),2025,24.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DE,Deere & Co,2020,12.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DE,Deere & Co,2021,10.9,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DE,Deere & Co,2022,10.86,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DE,Deere & Co,2023,7.11,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DE,Deere & Co,2024,12.0,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DHR,Danaher,2020,26.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DHR,Danaher,2021,23.45,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DHR,Danaher,2022,19.15,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DHR,Danaher,2023,25.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DTG,Daimler Truck Holding AG,2021,10.39,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DTG,Daimler Truck Holding AG,2022,7.74,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DTG,Daimler Truck Holding AG,2023,6.19,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DTG,Daimler Truck Holding AG,2024,9.0,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
DTG,Daimler Truck Holding AG,2025,10.89,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2020,6.8,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2021,8.04,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2022,5.83,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2023,7.35,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2024,9.47,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EBARA,Ebara Corp,2025,11.64,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EPIA,Epiroc AB (A),2022,196.02,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EPIA,Epiroc AB (A),2023,149.88,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EPIA,Epiroc AB (A),2024,16.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
EPIA,Epiroc AB (A),2025,17.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FAST,Fastenal,2023,21.73,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FAST,Fastenal,2024,28.41,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FAST,Fastenal,2025,25.06,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2020,17.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2021,15.95,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2022,19.64,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2023,16.81,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2024,16.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
FLS,Flowserve,2025,21.48,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2020,10.79,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2021,20.81,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2022,14.76,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2023,9.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2024,8.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
GBX,Greenbrier,2025,6.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2021,37.3,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2022,23.15,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2023,21.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2024,25.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2025,26.0,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HLMA,Halma plc,2026,21.9,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HON,Honeywell,2023,14.59,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HON,Honeywell,2024,18.69,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HON,Honeywell,2025,15.69,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2020,11.95,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2021,14.34,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2022,15.16,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2023,15.77,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2024,26.06,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HWM,Howmet Aerospace,2025,36.36,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2020,32.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2021,26.73,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2022,19.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2023,25.35,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2024,20.35,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
HXL,Hexcel,2025,23.12,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IEX,IDEX,2020,26.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IEX,IDEX,2021,25.5,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IEX,IDEX,2022,21.76,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IEX,IDEX,2023,18.42,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2020,10.16,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2021,14.86,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2022,10.06,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2023,10.41,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2024,11.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IMI,IMI plc,2025,12.33,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2020,34.25,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2021,21.98,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2022,16.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2023,18.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2024,19.29,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
IR,Ingersoll Rand,2025,18.14,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2020,28.43,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2021,18.72,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2022,19.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2023,21.74,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2024,20.25,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ITT,ITT Inc,2025,22.33,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2020,13.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2021,13.17,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2022,8.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2023,7.77,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2024,7.74,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KMT,Kennametal,2025,8.96,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KNEBV,KONE Oyj (B),2020,23.14,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KNEBV,KONE Oyj (B),2021,17.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KNEBV,KONE Oyj (B),2022,17.82,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
KNEBV,KONE Oyj (B),2023,14.64,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
